developer,total_games,average_owner,median_owner,total_revenue,mean_revenue,median_revenue,std_dev_revenue,mean_approval,median_approval,std_dev_approval,rank_score
Valve,18,189000000.0,7500000.0,1207110000.0,67061666.666666664,53925000.0,34899058.13662497,0.8975900323347579,0.9442368153182865,0.11683731031021706,1.545874223913592
Feral Interactive (Mac),39,65525000.0,1500000.0,1304689750.0,33453583.333333332,29970000.0,30772222.658695936,0.8259860286496546,0.8558046169287387,0.1184530483019401,1.4904409230096292
Aspyr,21,55100000.0,1500000.0,1157699000.0,55128523.809523806,25165000.0,56399205.07960999,0.8018212848630517,0.8791701497074246,0.15137543864771272,1.4452087726005356
PUBG Corporation,1,75000000.0,75000000.0,2024250000.0,2024250000.0,2024250000.0,0.0,0.5046315318430526,0.5046315318430526,0.0,1.434353103943009
Aspyr (Mac),16,48100000.0,1500000.0,1081819000.0,67613687.5,48735000.0,59201150.95780796,0.8144529121105543,0.8906793133530424,0.15434691856652188,1.4212112005003859
Feral Interactive (Linux),19,40600000.0,1500000.0,960844000.0,50570736.84210526,52465000.0,36477814.94749332,0.7925366059164294,0.8312807881773399,0.14751496478504467,1.291834889088343
Ubisoft,53,44535000.0,350000.0,932635650.0,17596899.056603774,6442500.0,24265930.411063295,0.7614111514375382,0.7827880120978828,0.13872587412264095,1.2210678398257555
"CAPCOM Co., Ltd.",12,14775000.0,750000.0,574577250.0,47881437.5,8794500.0,105682685.6969251,0.8348917212827595,0.8787301413252424,0.11644699836819777,1.1566220752868113
CAPCOM,15,15425000.0,350000.0,584770750.0,38984716.666666664,5596500.0,95473222.39212579,0.7888127239129634,0.8522408963585434,0.18137150274510502,1.1306134288326612
Firaxis Games,11,26250000.0,1500000.0,521237500.0,47385227.27272727,14985000.0,60321072.576821625,0.8125244968223027,0.8642306402950051,0.14825535226984163,1.1132785611247944
Ubisoft Montreal,20,30100000.0,1125000.0,574024000.0,28701200.0,12885000.0,33270111.783543404,0.8077036292350108,0.836085956253084,0.09306692469328759,1.1063713934442134
Relic,11,25000000.0,1500000.0,342250000.0,31113636.363636363,22492500.0,19844369.710437905,0.8598387857479342,0.9093421779988944,0.14946104069431257,1.0777250221798949
FromSoftware,4,10000000.0,2500000.0,404585000.0,101146250.0,92475000.0,66377377.217317045,0.8831352074703029,0.882258952344438,0.021545259709356498,1.0767789478837864
